kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom dla bezdomnych,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,bursa szkolna,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,placówka dyplomatyczna lub konsularna,government,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,Urząd Marszałkowski,government,,,,,
budynki hoteli,budynki hoteli,dom zakonny,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,pensjonat,yes,,,,,guest_house
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom studencki,dormitory,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,siedziba firmy lub firm,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom parafialny,yes,,,,,
budynki garaży,garaże,policja,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,dom studencki,dormitory,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,budynek gospodarczy,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",stacja paliw,yes,,,,,
budynki biurowe,budynki biurowe,siedziba firmy lub firm,office,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,placówka operatora pocztowego,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,szkoła ponadpodstawowa,yes,school,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,pawilon handlowo-usługowy,retail,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,budynek jednorodzinny,house,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,budynek ogrodu zoo lub botanicznego,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,hotel robotniczy,hotel,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,halowy tor gokartowy,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,biblioteka,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,kotłownia,service,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,sala gimnastyczna,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,dom towarowy lub handlowy,retail,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,szkoła wyższa,university,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,"",yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,siedziba firmy lub firm,office,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,hangar,hangar,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom wypoczynkowy,hotel,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,biblioteka,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,budynek o dwóch mieszkaniach,house,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,siedziba firmy lub firm,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,kotłownia,service,,,,,
budynki przemysłowe,budynki przemysłowe,hala wystawowa,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,kościół,church,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,garaż,garage,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,kino,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,sanatorium,hotel,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,klasztor,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,hotel,hotel,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,hotel,hotel,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom towarowy lub handlowy,retail,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,biblioteka,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",bank,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,kotłownia,service,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,schronisko turystyczne,yes,,,,,alpine_hut
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,budynek o dwóch mieszkaniach,house,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,budynek jednorodzinny,house,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,biblioteka,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,Urząd Miasta,government,,,,,
budynki biurowe,budynki biurowe,Kuria Metropolitarna,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,ujeżdżalnia,riding_hall,,,,,
budynki garaży,garaże,centrum handlowe,garage,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",stacja obsługi pojazdów,garage,vehicle_inspection,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,placówka operatora pocztowego,yes,,,,,
budynki przemysłowe,budynki przemysłowe,wiatrak,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,synagoga,synagogue,,,,,
