kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,warsztat remontowo-naprawczy,yes,,,,,
budynki hoteli,budynki hoteli,budynek wielorodzinny,hotel,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom parafialny,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,budynek wielorodzinny,apartments,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,terminal portowy,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dzwonnica,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione","","",yes,,,,,
budynki o trzech i więcej mieszkaniach,budynki o trzech i więcej mieszkaniach,budynek jednorodzinny,house,,,,,
budynki przemysłowe,budynki przemysłowe,budynek jednorodzinny,house,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,muzeum,yes,,,,,
budynki biurowe,budynki biurowe,Urząd Marszałkowski,government,,,,,
budynki przemysłowe,budynki przemysłowe,stacja obsługi pojazdów,garage,vehicle_inspection,,,,
budynki garaży,garaże,pawilon handlowo-usługowy,garage,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,placówka dyplomatyczna lub konsularna,government,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,restauracja,yes,,,,,
budynki biurowe,budynki biurowe,Urząd Celny,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,dworzec autobusowy,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,cerkiew,church,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,stacja kolejki górskiej lub wyciągu krzesełkowego,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,kotłownia,service,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,Urząd Gminy,government,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom dziecka,yes,,,,,
